Metric,D-0,D-1,D-5,Unit
SPX_CLOSE,7190.75,7132.5,7164.25,pts
ATH_252D_DIST,-0.14%,-0.74%,-0.3%,%
DIST_252D_LOW,31.81%,33.19%,39.73%,%
SMA_50,6812.36,6805.78,6791.62,pts
SMA_200,6738.14,6733.79,6716.76,pts
SMA200_SLOPE,4.28,4.29,4.05,p/d
SMA50_200_SPREAD,1.1%,1.07%,1.11%,%
CLOSE_VS_SMA50,5.55%,4.8%,5.49%,%
CLOSE_VS_SMA200,6.72%,5.92%,6.66%,%
VWAP_ANCHORED,6841.79,6838.62,6824.04,pts
VWAP_DIST,5.1%,4.3%,4.99%,%
WEEKLY_RANGE,122.04,357.5,357.5,pts
FIB_38.2,6533.91,6486.5,6399.4,pts
FIB_50.0,6328,6270.5,6156.5,pts
FIB_61.8,6122.09,6054.5,5913.6,pts
FIB_EXT_161.8,8278.91,8317,8457.9,pts
DIST_VS_FIB38.2,9.13%,9.06%,10.68%,%
DIST_VS_FIB61.8,14.86%,15.11%,17.46%,%
RSI_14,70.9,68.2,73.9,
RSI_DIV,-1,0,0,
MACD_HIST,35.33,39.72,63.17,
DELTA_RSI_5D,-3.08,-2.53,12.78,
DELTA_MACD_5D,-27.84,-20.78,18.23,
ADX_14,25.94,26.38,27.48,
STOCH_RSI_K,87.34,77.34,100,
VOL_RATIO,0.49,0.81,0.88,x
VOL_RATIO_5D_AVG,0.65,0.73,0.69,x
OBV_TREND_VS10D,0.16%,0.06%,2.17%,%
OBV_SLOPE_5D,-0.76,-0.41,2.75,%
UP_VOL_PCT_5D,31.98%,41.63%,100%,%
MFI_14,76.8,76.6,91.1,
CMF_20,0.5,0.4,0.32,
SPX_VS_RSP_20D,5.24%,3.18%,2.08%,%
MAG7_REL_20D,5.54%,4.39%,2.74%,%
RUT_IWM_REL_20D,1.39%,2.21%,5.12%,%
RISK_ON_OFF_IDX,11.59%,8.2%,7.6%,%
XLK_VS_XLU_ROT,21.73%,15.94%,10.71%,%
XLF_REL_STR,-4.94%,-4.22%,-2.67%,%
XLE_REL_STR,-21.87%,-17.2%,-16.73%,%
VIX_INDEX,18.62,19.31,17.48,
VIX_TS_SPREAD,2.48,2.17,3.03,
VIX_VIX3M_RATIO,0.88,0.9,0.85,x
VIX_VS_SMA20,-2.59,-2.52,-5.81,
REALIZED_VOL_10D,9.35%,9.35%,9.72%,%
IV_RV_RATIO,1.99,2.07,1.8,x
SKEW_INDEX,139.59,139.59,141.82,
SKEW_VIX_RATIO,7.5,7.23,8.11,x
PUT_CALL_RATIO,0.7749,0.9091,0.6699,
BB_WIDTH,14.25%,14.97%,12.89%,%
ATR_14,100.34,102.83,109.65,pts
ATR_RATIO_20D,0.86,0.87,0.9,x
GEX_FLIP,7050,-,-,pts
GEX_CALL_WALL,7280,-,-,pts
GEX_PUT_WALL,6100,-,-,pts
GEX_NET_VALUE,+0.90G,-,-,G
GEX_FLIP_PROX,1.96%,-,-,%
GEX_REGIME,POZITIVNÍ,-,-,
VPVR_POC,6776.88,-,-,pts
VPVR_HVN,6700-6800,-,-,pts
VPVR_LVN,6480-6600,-,-,pts
FED_FUNDS_RATE,3.64%,-,-,%
10Y_TREASURY_YIELD,4.25%,-,-,%
2Y_TREASURY_YIELD,3.79%,-,-,%
3M_TREASURY_BILL,3.69%,-,-,%
10Y_BREAKEVEN_INFLATION,2.42%,-,-,%
YIELD_CURVE_10Y-3M,0.56,-,-,
YIELD_CURVE_10Y-2Y,0.51,-,-,
M2_MONEY_SUPPLY,22.67T,-,-,T
M2_YOY,4.88%,-,-,%
FED_REVERSE_REPO_RRP,82M,-,-,M
REAL_FFR_(FFR-Breakeven),1.22%,-,-,%
REAL_10Y_(10Y-Breakeven),1.83%,-,-,%
EQUITY_RISK_PREMIUM,-0.98%,-,-,%
BUFFETT_INDICATOR,232.74%,-,-,
SHILLER_CAPE,40.34x,-,-,x
SP500_PE_TTM,30.54x,-,-,x
FORWARD_PE,20,-,-,x
HY_CREDIT_SPREAD,2.86%,-,-,%
IG_CREDIT_SPREAD,0.8%,-,-,%
AAII_BULL_BEAR_SPRD,11.63pp,-,-,pp
MARGIN_DEBT,609.68B,-,-,B
USD_INDEX_DXY,98.54,-,-,
WTI_CRUDE_OIL,$95.04,-,-,
GOLD_PRICE,$4717.02,-,-,
ISM_MANUFACTURING,52.7,-,-,
CONSUMER_SENTIMENT,53.3,-,-,
NONFARM_PAYROLLS,158.64M,-,-,M
JOBLESS_CLAIMS,214K,-,-,K
CORE_PCE_YOY,2.97%,-,-,%
PPI_INDEX,274.1,-,-,
BUILDING_PERMITS,1.39M,-,-,M
DURABLE_GOODS_ORDERS,$315.88B,-,-,B
SLOOS_CI_TIGHTENING,5.3%,-,-,%
CREDIT_CARD_DELINQUENCY,2.94%,-,-,%
SPXA200R,25.81,-,-,%
SPXA50R,20.05,-,-,%
CNN_FEAR_GREED,66,-,-,0-100
EW_WAVE_NUM,5,-,-,
EW_WAVE_TYPE,IMP,-,-,IMP/COR
EW_CONVICTION,M,-,-,H/M/L
