Metric,D-0,D-1,D-5,Unit
SPX_CLOSE,7164.25,7078.25,6863.75,pts
ATH_252D_DIST,-0.3%,-0.15%,-2.55%,%
DIST_252D_LOW,39.73%,38.05%,33.87%,%
SMA_50,6791.62,6784.11,6779.38,pts
SMA_200,6716.76,6712.32,6696.53,pts
SMA200_SLOPE,4.05,3.88,3.43,p/d
SMA50_200_SPREAD,1.11%,1.07%,1.24%,%
CLOSE_VS_SMA50,5.49%,4.34%,1.24%,%
CLOSE_VS_SMA200,6.66%,5.45%,2.5%,%
VWAP_ANCHORED,6824.36,6819.96,6811.86,pts
VWAP_DIST,4.98%,3.79%,0.76%,%
WEEKLY_RANGE,357.5,311.22,311.22,pts
FIB_38.2,6399.4,6339.61,6311.18,pts
FIB_50.0,6156.5,6108.13,6085.13,pts
FIB_61.8,5913.6,5876.64,5859.07,pts
FIB_EXT_161.8,8457.9,8301.36,8226.93,pts
DIST_VS_FIB38.2,10.68%,10.44%,8.05%,%
DIST_VS_FIB61.8,17.46%,16.98%,14.64%,%
RSI_14,73.9,70.8,61.2,
RSI_DIV,0,0,0,
MACD_HIST,63.17,60.5,44.94,
DELTA_RSI_5D,12.78,9.75,15.7,
DELTA_MACD_5D,18.23,20.09,37.33,
ADX_14,27.48,27.79,34.39,
STOCH_RSI_K,100,100,100,
VOL_RATIO,0.88,0.59,0.46,x
VOL_RATIO_5D_AVG,0.69,0.6,0.63,x
OBV_TREND_VS10D,2.17%,2%,1.79%,%
OBV_SLOPE_5D,2.75,1.7,2.06,%
UP_VOL_PCT_5D,100%,84.24%,86.01%,%
MFI_14,91.2,83.3,69.1,
CMF_20,0.32,0.28,0.15,
SPX_VS_RSP_20D,2.08%,2.33%,1.98%,%
MAG7_REL_20D,2.74%,1.89%,-0.68%,%
RUT_IWM_REL_20D,5.12%,2.9%,2.37%,%
RISK_ON_OFF_IDX,7.6%,7.12%,5.01%,%
XLK_VS_XLU_ROT,10.71%,10.23%,4.25%,%
XLF_REL_STR,-2.67%,-0.14%,1.25%,%
XLE_REL_STR,-16.73%,-11.03%,-3.91%,%
VIX_INDEX,17.48,17.94,19.23,
VIX_TS_SPREAD,3.03,2.83,2.63,
VIX_VIX3M_RATIO,0.85,0.86,0.88,x
VIX_VS_SMA20,-5.81,-5.82,-5.6,
REALIZED_VOL_10D,9.72%,10.8%,16.07%,%
IV_RV_RATIO,1.8,1.66,1.2,x
SKEW_INDEX,141.82,140.74,144.18,
SKEW_VIX_RATIO,8.11,7.85,7.5,x
PUT_CALL_RATIO,0.6699,0.7098,0.8102,
BB_WIDTH,12.89%,11.67%,7.35%,%
ATR_14,109.65,109.59,117.15,pts
ATR_RATIO_20D,0.9,0.89,0.96,x
GEX_FLIP,7000,-,-,pts
GEX_CALL_WALL,7100,-,-,pts
GEX_PUT_WALL,5750,-,-,pts
GEX_NET_VALUE,2.00,-,-,G
GEX_FLIP_PROX,2.29,-,-,%
GEX_REGIME,POZITIVNÍ,-,-,
VPVR_POC,6824,-,-,pts
VPVR_HVN,6700-6830,-,-,pts
VPVR_LVN,6830-7000,-,-,pts
FED_FUNDS_RATE,3.64%,-,-,%
10Y_TREASURY_YIELD,4.25%,-,-,%
2Y_TREASURY_YIELD,3.78%,-,-,%
3M_TREASURY_BILL,3.7%,-,-,%
10Y_BREAKEVEN_INFLATION,2.36%,-,-,%
YIELD_CURVE_10Y-3M,0.55,-,-,
YIELD_CURVE_10Y-2Y,0.55,-,-,
M2_MONEY_SUPPLY,22.67,-,-,T
M2_YOY,4.88%,-,-,%
FED_REVERSE_REPO_RRP,137,-,-,M
REAL_FFR_(FFR-Breakeven),1.28%,-,-,%
REAL_10Y_(10Y-Breakeven),1.89%,-,-,%
EQUITY_RISK_PREMIUM,-0.98%,-,-,%
BUFFETT_INDICATOR,232.74%,-,-,
SHILLER_CAPE,40.44,-,-,x
SP500_PE_TTM,30.62,-,-,x
FORWARD_PE,20.3,-,-,x
HY_CREDIT_SPREAD,2.86%,-,-,%
IG_CREDIT_SPREAD,0.81%,-,-,%
AAII_BULL_BEAR_SPRD,-11.06,-,-,pp
MARGIN_DEBT,609.68,-,-,B
USD_INDEX_DXY,98.23,-,-,
WTI_CRUDE_OIL,83.99,-,-,
GOLD_PRICE,4837.49,-,-,
ISM_MANUFACTURING,52.7,-,-,
CONSUMER_SENTIMENT,56.6,-,-,
NONFARM_PAYROLLS,158.64,-,-,M
JOBLESS_CLAIMS,207,-,-,K
CORE_PCE_YOY,2.97%,-,-,%
PPI_INDEX,274.1,-,-,
BUILDING_PERMITS,1.39,-,-,M
DURABLE_GOODS_ORDERS,315.88,-,-,B
SLOOS_CI_TIGHTENING,5.3%,-,-,%
CREDIT_CARD_DELINQUENCY,2.94%,-,-,%
SPXA200R,51.51,-,-,%
SPXA50R,10.60,-,-,%
CNN_FEAR_GREED,68,-,-,0-100
EW_WAVE_NUM,5,-,-,
EW_WAVE_TYPE,IMP,-,-,IMP/COR
EW_CONVICTION,M,-,-,H/M/L
