Metric,D-0,D-1,D-5,Unit
SPX_CLOSE,7443.5,7525.5,7419,pts
ATH_252D_DIST,-1.28%,-0.19%,-0.12%,%
DIST_252D_LOW,29.31%,30.73%,31.02%,%
SMA_50,6950.96,6936.97,6888.29,pts
SMA_200,6810.42,6805.08,6784.03,pts
SMA200_SLOPE,5.28,5.23,4.86,p/d
SMA50_200_SPREAD,2.06%,1.94%,1.54%,%
CLOSE_VS_SMA50,7.09%,8.48%,7.7%,%
CLOSE_VS_SMA200,9.3%,10.59%,9.36%,%
VWAP_ANCHORED,6908.73,6902.8,6882.65,pts
VWAP_DIST,7.74%,9.02%,7.79%,%
WEEKLY_RANGE,178.58,227.38,227.38,pts
FIB_38.2,6858.7,6858.7,6753.42,pts
FIB_50.0,6648.25,6648.25,6545.13,pts
FIB_61.8,6437.8,6437.8,6336.83,pts
FIB_EXT_161.8,8642.2,8642.2,8518.67,pts
DIST_VS_FIB38.2,7.86%,8.86%,8.97%,%
DIST_VS_FIB61.8,13.51%,14.45%,14.59%,%
RSI_14,68.2,77.9,74.5,
RSI_DIV,0,0,-1,
MACD_HIST,5.47,11.69,13.1,
DELTA_RSI_5D,-6.23,5.79,3.37,
DELTA_MACD_5D,-7.63,0.04,-0.13,
ADX_14,30.25,30.09,26.56,
STOCH_RSI_K,13.9,100,92.03,
VOL_RATIO,0.9,0.93,0.93,x
VOL_RATIO_5D_AVG,0.94,0.95,0.93,x
OBV_TREND_VS10D,0.33%,0.77%,0.54%,%
OBV_SLOPE_5D,0.33,1.14,0.31,%
UP_VOL_PCT_5D,58.01%,76.94%,57%,%
MFI_14,62.4,69.8,61,
CMF_20,0.28,0.34,0.39,
SPX_VS_RSP_20D,4.74%,4.83%,4.44%,%
MAG7_REL_20D,5.3%,6.05%,8.17%,%
RUT_IWM_REL_20D,-3.29%,-0.97%,0.53%,%
RISK_ON_OFF_IDX,3.43%,4.58%,9.58%,%
XLK_VS_XLU_ROT,19.21%,21.2%,27.84%,%
XLF_REL_STR,-6.59%,-8.05%,-7.63%,%
XLE_REL_STR,3.94%,-4%,-10.74%,%
VIX_INDEX,18.12,17.26,17.19,
VIX_TS_SPREAD,3.13,3.59,3.31,
VIX_VIX3M_RATIO,0.85,0.83,0.84,x
VIX_VS_SMA20,0.08,-0.75,-0.92,
REALIZED_VOL_10D,11.17%,8.67%,9.92%,%
IV_RV_RATIO,1.62,1.99,1.73,x
SKEW_INDEX,139.32,139.32,138.21,
SKEW_VIX_RATIO,7.69,8.07,8.04,x
PUT_CALL_RATIO,0.9075,0.7023,0.7613,
BB_WIDTH,7.02%,6.91%,6.7%,%
ATR_14,87.91,86.37,90.22,pts
ATR_RATIO_20D,0.93,0.9,0.89,x
GEX_FLIP,7500,-,-,pts
GEX_CALL_WALL,7600,-,-,pts
GEX_PUT_WALL,6100,-,-,pts
GEX_NET_VALUE,1.50G,-,-,G
GEX_FLIP_PROX,-0.76,-,-,%
GEX_REGIME,POZITIVNÍ,-,-,
VPVR_POC,6850,-,-,pts
VPVR_HVN,6750-6950,-,-,pts
VPVR_LVN,7100-7200,-,-,pts
FED_FUNDS_RATE,3.64%,-,-,%
10Y_TREASURY_YIELD,4.32%,-,-,%
2Y_TREASURY_YIELD,3.98%,-,-,%
3M_TREASURY_BILL,3.69%,-,-,%
10Y_BREAKEVEN_INFLATION,2.47%,-,-,%
YIELD_CURVE_10Y-3M,0.63,-,-,
YIELD_CURVE_10Y-2Y,0.47,-,-,
M2_MONEY_SUPPLY,22.69T,-,-,T
M2_YOY,4.57%,-,-,%
FED_REVERSE_REPO_RRP,647M,-,-,M
REAL_FFR_(FFR-Breakeven),1.17%,-,-,%
REAL_10Y_(10Y-Breakeven),1.85%,-,-,%
EQUITY_RISK_PREMIUM,-1.22%,-,-,%
BUFFETT_INDICATOR,229.57%,-,-,
SHILLER_CAPE,42.18x,-,-,x
SP500_PE_TTM,32.3x,-,-,x
FORWARD_PE,21,-,-,x
HY_CREDIT_SPREAD,2.76%,-,-,%
IG_CREDIT_SPREAD,0.76%,-,-,%
AAII_BULL_BEAR_SPRD,2.71pp,-,-,pp
MARGIN_DEBT,609.68B,-,-,B
USD_INDEX_DXY,99.3,-,-,
WTI_CRUDE_OIL,$101.2,-,-,
GOLD_PRICE,$4545.96,-,-,
ISM_MANUFACTURING,52.7,-,-,
CONSUMER_SENTIMENT,53.3,-,-,
NONFARM_PAYROLLS,158.74M,-,-,M
JOBLESS_CLAIMS,211K,-,-,K
CORE_PCE_YOY,3.2%,-,-,%
PPI_INDEX,283.8,-,-,
BUILDING_PERMITS,1.36M,-,-,M
DURABLE_GOODS_ORDERS,$318.91B,-,-,B
SLOOS_CI_TIGHTENING,8.1%,-,-,%
CC_DELINQ_RATE,2.94%,-,-,%
SPXA200R,52.4,-,-,%
SPXA50R,44.2,-,-,%
CNN_FEAR_GREED,64,-,-,0-100
EW_WAVE_NUM,5,-,-,
EW_WAVE_TYPE,IMP,-,-,IMP/COR
EW_CONVICTION,M,-,-,H/M/L
EARNINGS_SEASON_FLAG,ACTIVE,-,-,ACTIVE/INACTIVE
SURPRISE_RATE,18.2,-,-,%
BLENDED_EPS_GROWTH,27.7,-,-,%
