Metric,D-0,D-1,D-5,Unit
SPX_CLOSE,7424.5,7363,7258,pts
ATH_252D_DIST,-0.04%,-0.64%,-0.59%,%
DIST_252D_LOW,31.12%,30.63%,29.7%,%
SMA_50,6888.4,6877.69,6844.99,pts
SMA_200,6784.06,6778.95,6759.71,pts
SMA200_SLOPE,4.87,4.76,4.51,p/d
SMA50_200_SPREAD,1.54%,1.46%,1.26%,%
CLOSE_VS_SMA50,7.78%,7.06%,6.03%,%
CLOSE_VS_SMA200,9.44%,8.62%,7.37%,%
VWAP_ANCHORED,6881.71,6878.46,6859.75,pts
VWAP_DIST,7.89%,7.04%,5.81%,%
WEEKLY_RANGE,227.38,164.66,164.66,pts
FIB_38.2,6753.42,6732.83,6649.54,pts
FIB_50.0,6545.13,6523.5,6448.38,pts
FIB_61.8,6336.83,6314.17,6247.21,pts
FIB_EXT_161.8,8518.67,8506.83,8354.29,pts
DIST_VS_FIB38.2,9.04%,8.56%,8.38%,%
DIST_VS_FIB61.8,14.65%,14.24%,13.93%,%
RSI_14,74.7,72.1,71.1,
RSI_DIV,-1,0,-1,
MACD_HIST,13.45,11.65,13.23,
DELTA_RSI_5D,3.58,1.72,1,
DELTA_MACD_5D,0.22,-3.44,-22.98,
ADX_14,26.56,25.64,24.4,
STOCH_RSI_K,94.47,64.74,65.89,
VOL_RATIO,0.5,1.03,0.8,x
VOL_RATIO_5D_AVG,0.85,0.91,0.81,x
OBV_TREND_VS10D,0.36%,0.19%,0.52%,%
OBV_SLOPE_5D,0.1,0.27,0.53%,%
UP_VOL_PCT_5D,52.61%,56.25%,62.8%,%
MFI_14,60.3,54.5,61.8,
CMF_20,0.39,0.33,0.46,
SPX_VS_RSP_20D,4.46%,4.53%,4.87%,%
MAG7_REL_20D,7.38%,6.61%,5.34%,%
RUT_IWM_REL_20D,0.44%,0.47%,1.23%,%
RISK_ON_OFF_IDX,9.35%,9.07%,9.08%,%
XLK_VS_XLU_ROT,26.97%,23.75%,18.58%,%
XLF_REL_STR,-7.35%,-7.17%,-5.06%,%
XLE_REL_STR,-10.36%,-10.01%,-10.56%,%
VIX_INDEX,17.46,17.08,16.99,
VIX_TS_SPREAD,3.14,3.27,3.38,
VIX_VIX3M_RATIO,0.85,0.84,0.83,x
VIX_VS_SMA20,-0.67,-1.13,-2.24,
REALIZED_VOL_10D,10.01%,9.87%,9.24%,%
IV_RV_RATIO,1.74,1.73,1.84,x
SKEW_INDEX,136.11,136.11,141.38,
SKEW_VIX_RATIO,7.8,7.97,8.32,x
PUT_CALL_RATIO,0.7503,0.7886,0.7599,
BB_WIDTH,6.73%,7.17%,10.31%,%
ATR_14,90.22,90.12,92.45,pts
ATR_RATIO_20D,0.89,0.88,0.85,x
GEX_FLIP,7250,-,-,pts
GEX_CALL_WALL,7450,-,-,pts
GEX_PUT_WALL,6100,-,-,pts
GEX_NET_VALUE,+1.20G,-,-,G
GEX_FLIP_PROX,2.35%,-,-,%
GEX_REGIME,POZITIVNÍ,-,-,
VPVR_POC,6881.69,-,-,pts
VPVR_HVN,6800-6980,-,-,pts
VPVR_LVN,7050-7150,-,-,pts
FED_FUNDS_RATE,3.64%,-,-,%
10Y_TREASURY_YIELD,4.32%,-,-,%
2Y_TREASURY_YIELD,3.87%,-,-,%
3M_TREASURY_BILL,3.69%,-,-,%
10Y_BREAKEVEN_INFLATION,2.45%,-,-,%
YIELD_CURVE_10Y-3M,0.63,-,-,
YIELD_CURVE_10Y-2Y,0.49,-,-,
M2_MONEY_SUPPLY,22.69T,-,-,T
M2_YOY,4.57%,-,-,%
FED_REVERSE_REPO_RRP,773M,-,-,M
REAL_FFR_(FFR-Breakeven),1.19%,-,-,%
REAL_10Y_(10Y-Breakeven),1.87%,-,-,%
EQUITY_RISK_PREMIUM,-1.15%,-,-,%
BUFFETT_INDICATOR,229.57%,-,-,
SHILLER_CAPE,41.69x,-,-,x
SP500_PE_TTM,31.56x,-,-,x
FORWARD_PE,21,-,-,x
HY_CREDIT_SPREAD,2.79%,-,-,%
IG_CREDIT_SPREAD,0.79%,-,-,%
AAII_BULL_BEAR_SPRD,5.36pp,-,-,pp
MARGIN_DEBT,609.68B,-,-,B
USD_INDEX_DXY,97.91,-,-,
WTI_CRUDE_OIL,95.3,-,-,
GOLD_PRICE,4724.79,-,-,
ISM_MANUFACTURING,52.7,-,-,
CONSUMER_SENTIMENT,53.3,-,-,
NONFARM_PAYROLLS,158.64M,-,-,M
JOBLESS_CLAIMS,200K,-,-,K
CORE_PCE_YOY,3.2%,-,-,%
PPI_INDEX,274.1,-,-,
BUILDING_PERMITS,1.36M,-,-,M
DURABLE_GOODS_ORDERS,$318.91B,-,-,B
SLOOS_CI_TIGHTENING,8.1%,-,-,%
CC_DELINQ_RATE,2.94%,-,-,%
SPXA200R,55.40,-,-,%
SPXA50R,51.20,-,-,%
CNN_FEAR_GREED,67,-,-,0-100
EW_WAVE_NUM,5,-,-,
EW_WAVE_TYPE,IMP,-,-,IMP/COR
EW_CONVICTION,L,-,-,H/M/L
EEARNINGS_SEASON_FLAG,ACTIVE,-,-,ACTIVE/INACTIVE
SURPRISE_RATE,84.0,-,-,%
BLENDED_EPS_GROWTH,27.7,-,-,%



